Associte storekeeper ID to store location,ASISL,Y
Ticekts Menu,TCKMN,Y
Ticekts Sub menu,TCKSM,Y
Delete tickets,DETCK,Y
Edit ticket status,EDTST,Y
Edit tickets,TEDTK,Y
Put tickets on Hold,PTKOH,Y
Create ticket category,CRTKC,Y
Edit ticket category,EDTKC,Y
Delete ticket category,DETKC,Y
Associate helpdesk with ticket category,AHWTC,Y
Create ticket sub category,CRTKS,Y
Edit ticket sub category,EDTKS,Y
delete ticket sub category,DETKS,Y
Menu,RPTMN,Y
Sub menu,RPTSM,Y
Edit filters,EDFIL,Y
"Save filters as ""my reports",SFAMR,Y
Dashboard Menu,DSBMN,Y
Dashboard setup,DSBST,Y
Choose widget sequence,CWSEQ,Y
Choose widget for mobile (self),CWMBS,Y
Choose widget for mobile (reportees),CWMBR,Y
My Inconn Button,MIBUT,Y
My actions Menu,MYAMN,Y
My actions Sub menu,MYASM,Y
My work orders add,MWOAD,Y
My work orders view,MWOVI,Y
My work orders edit,MWOED,Y
My work orders delete,MWODE,Y
Request reschedule,RERES,N
Request reassign,REREA,N
Execute my work order,EXEWO,Y
List view my work order,LIVWO,Y
List view my assigned tickets,LIVTK,Y
View my assigned ticket,VITCK,Y
Edit my assigned ticket,EDTCK,Y
Assign ticket,ASTCK,Y
Request approval for my assigned ticket,RAPTK,Y
Create my inventory transaction,CRTRS,Y
Edit my inventory transaction,EDTRS,Y
View my inventory transaction,VITRS,Y
List view my inventory transactions,MLVTR,Y
Delete my inventory transactions,MIDTR,N
List view my pending approvals,LVAPS,Y
View my pending approvals,VIAPS,Y
My pending approvals  Approve/ reject request,ARREQ,Y
Delete my pending approval,DEAPL,Y
View my task Schedule,MAVSC,Y
My approvals Menu,MAPMN,Y
View my approvals WO related approvals,VWORA,Y
View my tapprovals Ticket approvals,VTKAP,Y
View my approvals inventory approvals,VINAP,Y
create request for WO/ WP/ ticket /Inventory issue,CWWTI,Y
View my request,VIMRQ,Y
List view my requests,LVMRQ,Y
Delete my requests,DEMRQ,Y
View my attendance,VMATT,Y
View my rosters,VMROS,Y
My teams Menu,MTSMN,Y
My team tasks Submenu,MTMSM,Y
My team attendance Submenu,MTASM,Y
My team roster Submenu,MTRSM,Y
My team schedule Submenu,MTSSM,Y
Edit my team tasks,MTTET,Y
Edit my team task attendance,EDATT,Y
Edit my team  roster,EDROS,Y
Edit my team Schedule,EDSCH,Y
View my team tasks,VITSK,Y
View my team attendance,VIATT,Y
Viewmy team  roster,VIROS,Y
View my team Schedule,VISCH,Y
My reports Menu,MRPMN,Y
View/print reports,VIPRT,Y
My stock report Submenu,MSRSM,Y
View landing page,VILPG,Y
Edit widget selection,EDWSL,Y
View level 2 dashboard,VL2DB,Y
Add new Service Provider,SPRAN,Y
Edit Service Provider,SPRED,Y
Delete Service Provider,SPRVD,Y
View detail Service Provider,SPVDE,Y
List view Service Provider,SPLIV,Y
Mark attendance,MKATT,Y
Dashboard & Reports - View,DSHRP,Y
Assign tickets,ASSTK,Y
Close tickets,CLTCK,Y
Create tickets,CRTCK,Y
Reassign tickets,REATK,Y
Reopen ticket,REOTK,Y
Create work order,CRWKO,Y
Execute work order,EXCWO,Y
List view work order,LVIWO,Y
List view work permit,LVIWP,Y
Reassign work order,REAWO,Y
Reschedule work order,RSCWO,Y
View work order,VIWKO,Y
Approve work permit,APWPR,Y
Approve LOTO,APLOT,Y
Acknowledge work order,ACWKO,Y
Approve work order,APWKO,Y
View Item,VIITM,Y
View stock,VISTK,Y
View reports and dashboards,VIRDB,Y
Print reports and dashboards,PRADB,Y
List view of my approvals related to WO,MAPWO,Y
List view of my approvals related to Ticketing,MAPTK,Y
List view of my approvals related to Inventory,MAPIN,Y
List view of my request related to WO,MRQWO,Y
list view of my request related to ticketing,MRQTK,Y
List view of my request related to Inventory,MRQIN,Y
List view of my team WO,MYTWO,Y
List view of my team Ticketing,MYTTK,Y
List view of my team Pending approvals,MYTPA,Y
List view of my team store transaction,MYTST,Y
List view of my team attendance,MYTAT,Y
Create site,CREST,Y
My Work Order,MYWKO,Y
My store task,MYSRT,Y
My Pending Approvals,MYPAP,Y
Approve Reassign,APREA,Y
Approve Reshcedule,APRES,Y
Approve the ticket,APTCK,Y
Approve the Inventory,APINV,Y
Add Site,ADDST,Y
