Edit tickets,TEDTK,Y
Put tickets on Hold,PTKOH,Y
Create ticket category,CRTKC,N
Edit ticket category,EDTKC,N
Delete ticket category,DETKC,N
Associate helpdesk with ticket category,AHWTC,N
Create ticket sub category,CRTKS,N
Edit ticket sub category,EDTKS,N
delete ticket sub category,DETKS,N
Menu,RPTMN,Y
Sub menu,RPTSM,Y
Edit filters,EDFIL,Y
"Save filters as ""my reports",SFAMR,Y
Dashboard Menu,DSBMN,Y
Dashboard setup,DSBST,Y
Choose widget sequence,CWSEQ,Y
Choose widget for mobile (self),CWMBS,Y
Choose widget for mobile (reportees),CWMBR,Y
My Inconn Button,MIBUT,Y
My actions Menu,MYAMN,Y
My actions Sub menu,MYASM,Y
My work orders add,MWOAD,Y
My work orders view,MWOVI,Y
My work orders edit,MWOED,Y
My work orders delete,MWODE,N
Request reschedule,RERES,N
Request reassign,REREA,N
Execute my work order,EXEWO,Y
List view my work order,LIVWO,Y
List view my assigned tickets,LIVTK,Y
View my assigned ticket,VITCK,Y
Edit my assigned ticket,EDTCK,Y
Assign ticket,ASTCK,Y
Request approval for my assigned ticket,RAPTK,Y
Create my inventory transaction,CRTRS,Y
Edit my inventory transaction,EDTRS,Y
View my inventory transaction,VITRS,Y
List view my inventory transactions,MLVTR,Y
Delete my inventory transactions,MIDTR,N
List view my pending approvals,LVAPS,Y
View my pending approvals,VIAPS,Y
My pending approvals  Approve/ reject request,ARREQ,Y
Delete my pending approval,DEAPL,N
View my task Schedule,MAVSC,Y
My approvals Menu,MAPMN,Y
View my approvals WO related approvals,VWORA,Y
View my tapprovals Ticket approvals,VTKAP,Y
View my approvals inventory approvals,VINAP,Y
create request for WO/ WP/ ticket /Inventory issue,CWWTI,Y
View my request,VIMRQ,Y
List view my requests,LVMRQ,Y
Delete my requests,DEMRQ,N
View my attendance,VMATT,Y
View my rosters,VMROS,Y
My teams Menu,MTSMN,Y
My team tasks Submenu,MTMSM,Y
My team attendance Submenu,MTASM,Y
My team roster Submenu,MTRSM,Y
My team schedule Submenu,MTSSM,Y
Edit my team tasks,MTTET,Y
Edit my team task attendance,EDATT,N
Edit my team  roster,EDROS,Y
Edit my team Schedule,EDSCH,Y
View my team tasks,VITSK,Y
View my team attendance,VIATT,Y
Viewmy team  roster,VIROS,Y
View my team Schedule,VISCH,Y
My reports Menu,MRPMN,Y
View/print reports,VIPRT,Y
My stock report Submenu,MSRSM,Y
View landing page,VILPG,Y
Edit widget selection,EDWSL,Y
View level 2 dashboard,VL2DB,Y
Add new Service Provider,SPRAN,N
Edit Service Provider,SPRED,N
Delete Service Provider,SPRVD,N
View detail Service Provider,SPVDE,Y
