Create ticket sub category,CRTKS,N
Edit ticket sub category,EDTKS,N
delete ticket sub category,DETKS,N
Menu,RPTMN,N
Sub menu,RPTSM,N
Edit filters,EDFIL,N
"Save filters as ""my reports",SFAMR,N
Dashboard Menu,DSBMN,N
Dashboard setup,DSBST,N
Choose widget sequence,CWSEQ,N
Choose widget for mobile (self),CWMBS,N
Choose widget for mobile (reportees),CWMBR,N
My Inconn Button,MIBUT,Y
My actions Menu,MYAMN,Y
My actions Sub menu,MYASM,Y
My work orders add,MWOAD,N
My work orders view,MWOVI,N
My work orders edit,MWOED,N
My work orders delete,MWODE,N
Request reschedule,RERES,Y
Request reassign,REREA,Y
Execute my work order,EXEWO,N
List view my work order,LIVWO,Y
List view my assigned tickets,LIVTK,N
View my assigned ticket,VITCK,N
Edit my assigned ticket,EDTCK,N
Assign ticket,ASTCK,N
Request approval for my assigned ticket,RAPTK,N
Create my inventory transaction,CRTRS,N
Edit my inventory transaction,EDTRS,N
View my inventory transaction,VITRS,N
List view my inventory transactions,MLVTR,N
Delete my inventory transactions,MIDTR,N
List view my pending approvals,LVAPS,N
View my pending approvals,VIAPS,N
My pending approvals  Approve/ reject request,ARREQ,N
Delete my pending approval,DEAPL,N
View my task Schedule,MAVSC,N
My approvals Menu,MAPMN,N
View my approvals WO related approvals,VWORA,N
View my tapprovals Ticket approvals,VTKAP,N
View my approvals inventory approvals,VINAP,N
create request for WO/ WP/ ticket /Inventory issue,CWWTI,Y
View my request,VIMRQ,Y
List view my requests,LVMRQ,Y
Delete my requests,DEMRQ,N
View my attendance,VMATT,Y
View my rosters,VMROS,Y
My teams Menu,MTSMN,Y
My team tasks Submenu,MTMSM,N
My team attendance Submenu,MTASM,N
My team roster Submenu,MTRSM,N
My team schedule Submenu,MTSSM,N
Edit my team tasks,MTTET,N
Edit my team task attendance,EDATT,N
Edit my team  roster,EDROS,N
Edit my team Schedule,EDSCH,N
View my team tasks,VITSK,Y
View my team attendance,VIATT,Y
Viewmy team  roster,VIROS,Y
View my team Schedule,VISCH,Y
My reports Menu,MRPMN,Y
View/print reports,VIPRT,Y
My stock report Submenu,MSRSM,N
View landing page,VILPG,Y
Edit widget selection,EDWSL,Y
View level 2 dashboard,VL2DB,Y
Add new Service Provider,SPRAN,N
Edit Service Provider,SPRED,N
Delete Service Provider,SPRVD,N
View detail Service Provider,SPVDE,N
List view Service Provider,SPLIV,N
Mark attendance,MKATT,N
Dashboard & Reports - View,DSHRP,Y
Assign tickets,ASSTK,N
Close tickets,CLTCK,N
Create tickets,CRTCK,Y
Reassign tickets,REATK,N
Reopen ticket,REOTK,Y
Create work order,CRWKO,N
Execute work order,EXCWO,N
List view work order,LVIWO,Y
List view work permit,LVIWP,Y
Reassign work order,REAWO,N
Reschedule work order,RSCWO,N
View work order,VIWKO,Y
Approve work permit,APWPR,N
Approve LOTO,APLOT,N
Acknowledge work order,ACWKO,N
Approve work order,APWKO,N
View Item,VIITM,N
View stock,VISTK,N
View reports and dashboards,VIRDB,Y
Print reports and dashboards,PRADB,Y
List view of my approvals related to WO,MAPWO,N
List view of my approvals related to Ticketing,MAPTK,N
List view of my approvals related to Inventory,MAPIN,N
List view of my request related to WO,MRQWO,N
list view of my request related to ticketing,MRQTK,N
List view of my request related to Inventory,MRQIN,N
List view of my team WO,MYTWO,N
List view of my team Ticketing,MYTTK,N
List view of my team Pending approvals,MYTPA,N
List view of my team store transaction,MYTST,N
List view of my team attendance,MYTAT,N
Create site,CREST,N
My Work Order,MYWKO,Y
My store task,MYSRT,Y
My Pending Approvals,MYPAP,N
Approve Reassign,APREA,N
Approve Reshcedule,APRES,N
Approve the ticket,APTCK,N
Approve the Inventory,APINV,N
Add Site,ADDST,N
